id,time,value 
1,2025:05:06 10:04:15,93151.66 
2,2025:05:06 10:04:15,4843.38 
1,2025:05:06 10:05:45,89461.97 
2,2025:05:06 10:05:45,29001.81 
1,2025:05:06 10:07:15,22730.26 
2,2025:05:06 10:07:15,76906.67 
1,2025:05:06 10:08:45,41071.87 
2,2025:05:06 10:08:45,20197.23 
1,2025:05:06 10:10:15,62807.13 
2,2025:05:06 10:10:15,60414.48 
1,2025:05:06 10:11:45,45161.34 
2,2025:05:06 10:11:45,46635.39 
1,2025:05:06 10:13:15,59782.75 
2,2025:05:06 10:13:15,63472.43 
1,2025:05:06 10:14:45,85479.31 
2,2025:05:06 10:14:45,82879.13 
1,2025:05:06 10:16:15,62477.53 
2,2025:05:06 10:16:15,72090.85 
1,2025:05:06 10:17:45,56575.26 
2,2025:05:06 10:17:45,37513.41 
1,2025:05:06 10:19:15,18427.16 
2,2025:05:06 10:19:15,73790.73 
